"","FLOWTRUTH","FLOWSIM","FLOWERROR","OPTFLOW","ERRORCONDITION","VOLTRUTH","VOLSIM","VOLERROR","OPTVOL","VOLERRORCONDITION","COEFOFVAR","HSD"
"1",2.9065545906482,3.05975522323729,-0.15320063258909,0.174393275438892,1,32.8974419196094,34.0801536543131,-1.1827117347037,1.97384651517657,0,0.01,0.0125
"2",3.72823994034708,2.70478883660563,1.02345110374145,0.223694396420825,0,22.387752618339,16.1303314264407,6.25742119189836,1.34326515710034,0,0.01,0.0125
"3",3.81538967353021,4.33050549777839,-0.515115824248179,0.228923380411813,0,11.2702088024728,11.0597940751927,0.210414727280055,0.676212528148367,0,0.01,0.0125
"4",5.3592883766166,5.67031447143712,-0.31102609482052,0.321557302596996,1,21.1882211534088,21.7371690472595,-0.548947893850695,1.27129326920453,0,0.01,0.0125
"5",6.53014331454247,6.75278428598883,-0.222640971446356,0.391808598872548,1,55.1234862690216,56.8432819755085,-1.71979570648688,3.3074091761413,0,0.01,0.0125
"6",2.85345654007713,2.46174707046113,0.391709469615997,0.171207392404628,0,26.7077488154986,21.8771773008916,4.830571514607,1.60246492892991,0,0.01,0.0125
"7",6.85813711477323,7.49986506649192,-0.641727951718689,0.411488226886394,0,12.7735723821589,13.3292106614295,-0.555638279270646,0.766414342929534,0,0.01,0.0125
"8",1.78682261621657,2.10521859200564,-0.318395975789077,0.107209356972994,0,17.9073747578048,20.9445573673034,-3.03718260949856,1.07444248546829,0,0.01,0.0125
"9",4.25857590755198,3.50466351735488,0.753912390197091,0.255514554453118,0,19.0323896735306,15.857275114006,3.17511455952461,1.14194338041183,0,0.01,0.0125
"10",5.7695890493645,5.86083064423171,-0.091241594867209,0.34617534296187,1,64.3998695598629,65.8355627760493,-1.43569321618632,3.86399217359178,0,0.01,0.0125
"11",6.09916193364617,6.18771520826598,-0.0885532746198123,0.36594971601877,1,67.1593248696689,68.1729777372792,-1.0136528676103,4.02955949218013,0,0.01,0.0125
"12",1.04126556113711,0.711113070064799,0.330152491072309,0.0624759336682265,0,7.53855846076992,5.39021443864733,2.14834402212259,0.452313507646195,0,0.01,0.0125
"13",6.052015427502,6.39363963347503,-0.341624205973021,0.36312092565012,1,69.3991303691146,73.5288634882775,-4.12973311916284,4.16394782214688,0,0.01,0.0125
"14",7.29891992930034,7.523962033363,-0.225042104062664,0.43793519575802,1,13.9801494192936,13.0096688764106,0.970480542883031,0.838808965157619,0,0.01,0.0125
"15",4.61274939273554,4.13624071117147,0.476508681564068,0.276764963564132,0,1.97856181945845,2.50496781576647,-0.526405996308017,0.118713709167507,1,0.01,0.0125
"16",3.55783315045921,3.20263310326825,0.355200047190955,0.213469989027553,0,3.02556468362661,2.96922200258885,0.0563426810377621,0.181533881017597,1,0.01,0.0125
"17",5.89376688769433,5.93599647099966,-0.0422295833053257,0.35362601326166,1,22.0991338291817,21.9600729205808,0.139060908600896,1.3259480297509,0,0.01,0.0125
"18",4.55954591265426,4.53961463803214,0.0199312746221239,0.273572754759256,1,20.2456079193881,20.1756337240829,0.0699741953052353,1.21473647516329,0,0.01,0.0125
"19",1.61339868993453,1.51651865404958,0.0968800358849522,0.0968039213960721,0,5.27718977499078,4.83461020237857,0.44257957261221,0.316631386499447,0,0.01,0.0125
"20",5.05738082731286,4.70170331705663,0.355677510256228,0.303442849638771,0,32.1561533872358,27.1101173249793,5.04603606225651,1.92936920323415,0,0.01,0.0125
"21",2.47042617276455,1.12149453854944,1.3489316342151,0.148225570365873,0,20.4616335452026,9.62731312587733,10.8343204193253,1.22769801271216,0,0.01,0.0125
"22",6.44220919802375,6.39253525576323,0.0496739422605161,0.386532551881425,1,25.1155502928814,24.7193398310668,0.396210461814565,1.50693301757288,0,0.01,0.0125
"23",8.71901479790964,8.00988808098924,0.7091267169204,0.523140887874578,0,47.6770162050273,44.1985673501099,3.47844885491742,2.86062097230164,0,0.01,0.0125
"24",6.99493105104504,8.06625907283157,-1.07132802178653,0.419695863062702,0,34.2353114648801,40.2691392728138,-6.03382780793372,2.0541186878928,0,0.01,0.0125
"25",5.90847969865743,5.75890652005724,0.149573178600187,0.354508781919446,1,18.3175517327905,16.2776363465589,2.03991538623166,1.09905310396743,0,0.01,0.0125
"26",2.76406312425685,2.96489944158135,-0.200836317324505,0.165843787455411,0,6.0376911029455,5.92819401775225,0.109497085193253,0.36226146617673,0,0.01,0.0125
"27",6.25243248351478,6.68507139640442,-0.432638912889642,0.375145949010887,0,51.5208035944646,54.9592293257326,-3.43842573126805,3.09124821566787,0,0.01,0.0125
"28",7.6865827909675,7.63148158885386,0.0551012021136383,0.46119496745805,1,64.5159249948713,62.9196864696326,1.5962385252387,3.87095549969228,0,0.01,0.0125
"29",1.48594093194986,1.79386141769498,-0.307920485745116,0.0891564559169919,0,0.434547856189063,-0.0113220609438173,0.44586991713288,0.0260728713713438,1,0.01,0.0125
"30",2.06180351618977,1.77126389843013,0.290539617759638,0.123708210971386,0,13.7448503809179,11.6263246865193,2.11852569439862,0.824691022855074,0,0.01,0.0125
"31",2.50419935633602,2.39275798999083,0.111441366345193,0.150251961380161,1,14.1141121231143,13.0777350934496,1.03637702966474,0.846846727386857,0,0.01,0.0125
"32",1.59480748482845,1.7383254642899,-0.143517979461455,0.0956884490897069,0,18.2318770041198,19.5467443982103,-1.31486739409051,1.09391262024719,0,0.01,0.0125
"33",3.1566311440168,3.15466499863607,0.00196614538073181,0.189397868641008,1,5.06845588339966,5.31503014541501,-0.246574262015357,0.304107353003979,0,0.01,0.0125
