"","FLOWTRUTH","FLOWSIM","FLOWERROR","OPTFLOW","ERRORCONDITION","VOLTRUTH","VOLSIM","VOLERROR","OPTVOL","VOLERRORCONDITION","COEFOFVAR","GSD"
"1",7.67458746977048,9.30164089848205,-1.62705342871157,0.460475248186229,0,87.3082435358373,108.128623909703,-20.8203803738655,5.23849461215024,0,0.01,0.41
"2",8.56972322121928,6.111422987555,2.45830023366428,0.514183393273157,0,4.63719274684022,0.825800700524914,3.8113920463153,0.278231564810413,1,0.01,0.41
"3",2.24807402675527,1.79294242151284,0.455131605242426,0.134884441605316,0,16.1343209773516,12.0766327073069,4.05768827004471,0.968059258641097,0,0.01,0.41
"4",2.50394021901764,5.94187616253426,-3.43793594351662,0.150236413141059,0,1.06261233889588,3.65512598785859,-2.59251364896271,0.0637567403337527,1,0.01,0.41
"5",2.7974659389911,0.74614519083427,2.05132074815683,0.167847956339466,0,28.4825387810239,7.55773235981097,20.9248064212129,1.70895232686143,0,0.01,0.41
"6",2.30472095276811,2.04169476359884,0.263026189169266,0.138283257166087,0,26.0400112388218,23.0236155083921,3.01639573042969,1.56240067432931,0,0.01,0.41
"7",6.96096900566562,7.5064871274729,-0.545518121807279,0.417658140339937,0,39.6321690937091,42.6929610549651,-3.06079196125594,2.37793014562255,0,0.01,0.41
"8",6.85107605442767,4.33349733237003,2.51757872205764,0.41106456326566,0,37.2938910825721,24.1576904528835,13.1362006296886,2.23763346495433,0,0.01,0.41
"9",1.911885992377,-3.99188361507499,5.90376960745199,0.11471315954262,0,12.6999550735987,-26.052910770772,38.7528658443707,0.761997304415924,0,0.01,0.41
"10",5.54288459270333,4.53007177445575,1.01281281824757,0.3325730755622,0,39.0909998482424,28.8948694977336,10.1961303505089,2.34545999089454,0,0.01,0.41
"11",2.49790405847293,1.31811519478501,1.17978886368791,0.149874243508376,0,19.8128359104203,10.3434202876318,9.46941562278852,1.18877015462522,0,0.01,0.41
"12",4.58472723568418,4.90659189894384,-0.321864663259655,0.275083634141051,0,37.3948476654432,40.8269940810898,-3.43214641564654,2.24369085992659,0,0.01,0.41
"13",5.38874764888984,3.85213450253424,1.5366131463556,0.323324858933391,0,42.5897396324348,31.0456852111306,11.5440544213042,2.55538437794609,0,0.01,0.41
"14",3.66404780134217,7.19685172289539,-3.53280392155322,0.21984286808053,0,42.0464573470206,85.1587291465013,-43.1122717994806,2.52278744082124,0,0.01,0.41
"15",2.15364097647248,-3.30519112194004,5.45883209841252,0.129218458588349,0,0.102553814637974,-0.575334928411968,0.677888743049942,0.00615322887827842,1,0.01,0.41
"16",3.53510806317697,8.37504403576997,-4.839935972593,0.212106483790618,0,23.6507802860862,58.160132669189,-34.5093523831029,1.41904681716517,0,0.01,0.41
"17",1.71685991082732,1.54193028714342,0.174929623683892,0.103011594649639,0,4.27970805785286,3.42770762143844,0.852000436414421,0.256782483471172,0,0.01,0.41
"18",5.53481850954936,0.388427452423341,5.14639105712602,0.332089110572962,0,55.9800759634328,4.02801648249913,51.9520594809337,3.35880455780597,0,0.01,0.41
"19",5.94959259975789,4.39639633419959,1.5531962655583,0.356975555985474,0,50.3612184259285,37.8505184708313,12.5106999550972,3.02167310555571,0,0.01,0.41
"20",8.83415278528935,1.85122490099131,6.98292788429805,0.530049167117361,0,53.7261608334229,11.7275320314224,41.9986288020005,3.22356965000537,0,0.01,0.41
"21",1.51928573717351,2.58813309878415,-1.06884736161064,0.0911571442304103,0,15.290104488595,26.508740341059,-11.218635852464,0.917406269315698,0,0.01,0.41
"22",2.07095061536527,5.80474125243869,-3.73379063707342,0.124257036921916,0,8.88531656212723,24.7865037184453,-15.901187156318,0.533118993727634,0,0.01,0.41
"23",7.585783576907,10.1283099071944,-2.54252633028736,0.45514701461442,0,2.39847239493843,3.37399213042266,-0.97551973548423,0.143908343696306,1,0.01,0.41
"24",6.5669313505751,5.72031241951468,0.846618931060419,0.394015881034506,0,33.7456642457201,30.7744637586454,2.97120048707476,2.02473985474321,0,0.01,0.41
"25",8.16928035024786,3.66005038318307,4.50922996706479,0.490156821014872,0,29.6334448211552,13.4349519998525,16.1984928213026,1.77800668926931,0,0.01,0.41
"26",5.35081006862537,7.1807249160964,-1.82991484747103,0.321048604117522,0,39.9460158447502,55.5491893406272,-15.603173495877,2.39676095068501,0,0.01,0.41
"27",5.84778653041781,6.47366575179354,-0.625879221375735,0.350867191825068,0,55.9626924650684,61.6694183933225,-5.70672592825406,3.35776154790411,0,0.01,0.41
"28",2.50481498149885,0.296722102086373,2.20809287941248,0.150288898889931,0,19.9860082052789,2.49473797275421,17.4912702325247,1.19916049231673,0,0.01,0.41
"29",2.33641909811294,-5.37667840065974,7.71309749877268,0.140185145886776,0,26.5577602839694,-59.7367462577527,86.2945065417221,1.59346561703816,0,0.01,0.41
"30",7.79853562021626,9.07665117784218,-1.27811555762592,0.467912137212976,0,56.5767809504267,68.7795175963885,-12.2027366459618,3.3946068570256,0,0.01,0.41
"31",4.63277225544836,4.85769510521569,-0.224922849767331,0.277966335326902,1,25.2185275671018,26.2039079411236,-0.985380374021805,1.51311165402611,0,0.01,0.41
"32",7.11324220529367,5.26467881496774,1.84856339032593,0.42679453231762,0,44.2330691827469,33.6953881430337,10.5376810397132,2.65398415096482,0,0.01,0.41
"33",1.94440975349492,1.3015698934158,0.642839860079123,0.116664585209695,0,19.2417523762511,13.1208118387619,6.12094053748925,1.15450514257507,0,0.01,0.41
