"H","G","FLOW","LOGFLOW","NGATE","MODEL1","MODEL2","MODEL3","MODEL4","MODEL5","MODEL6","MODEL7","MODEL8"
0.1,2,1.35,0.300104592450338,1,0.251933233160451,0.194591917131676,0.260833517870886,-0.321958972223849,0.245256697549184,-0.0144916640753903,0.193792040096084,-0.0664831396259783
0.13,2,1.47,0.385262400790645,1,0.380060375462642,0.327049603379198,0.387343218446946,0.02358838758258,0.37449501884003,0.296021839911801,0.323030361378216,0.0200716855699216
0.15,2,1.59,0.46373401623214,1,0.449944519913207,0.399295748208348,0.456345164721556,0.212059629298634,0.444985231540914,0.465384632030521,0.393520574074348,0.0672811198724312
0.17,2,1.7,0.53062825106217,1,0.511068682004438,0.462485833766703,0.516697712239444,0.376905987778946,0.506639491185204,0.613517786397333,0.455174833714481,0.108572848307101
0.19,2,1.8,0.587786664902119,1,0.565386379600732,0.518639404482645,0.570329718193975,0.523395924711243,0.56142825746528,0.745155613528154,0.509963599990864,0.145266547518798
0.21,2,1.89,0.636576829071551,1,0.614262729292079,0.569167716251835,0.618589066319601,0.655211036555283,0.610728485905839,0.863606445506974,0.559263828428098,0.178284406402831
0.23,2,1.98,0.683096844706444,1,0.658689335923535,0.615095888975398,0.662454843715151,0.77502559224444,0.655540381016684,0.971273416357365,0.604075723535922,0.208296292268227
0.25,2,2.06,0.72270598280149,1,0.699409238443809,0.65719207542853,0.702660709410464,0.884843500882951,0.696613425730622,1.06995726574632,0.645148768247091,0.235804156576351
0.27,2,2.14,0.76080582903376,1,0.736993618654229,0.696046762673313,0.739770634765256,0.986205188331199,0.73452375540687,1.1610422410656,0.683059097920783,0.261193854658718
0.29,2,2.21,0.792992515529661,1,0.771891026902607,0.732123661522061,0.774227507751389,1.0803203544673,0.769723810433342,1.24561539489212,0.718259152944882,0.284768399571336
0.31,2,2.28,0.824175442966349,1,0.804460154592552,0.765793586718203,0.806385491751068,1.16815635769225,0.802575392954618,1.32454600849278,0.751110735463942,0.306770101188448
0.33,2,2.35,0.854415328156068,1,0.834992341176689,0.797357724638909,0.836532248427974,1.25049891426299,0.833372369056419,1.39854013706134,0.781907711563667,0.327395770544326
0.35,2,2.42,0.883767540168595,1,0.86372744782268,0.827064043472017,0.864904611008509,1.3279949081396,0.862356680095547,1.46817907922278,0.810892022600842,0.346807443106751
0.38,2,2.49,0.912282710476616,1,0.9038889101196,0.868582915091118,0.904559086075914,1.43630675380564,0.902866441529216,1.56550956017312,0.851401784031779,0.373938059510596
0.4,2,2.56,0.940007258491471,1,0.928938294198186,0.894478938348622,0.929292253634763,1.50386268596495,0.928133065677054,1.62621622921455,0.876668408177914,0.390859884357616
0.42,2,2.62,0.963174317773006,1,0.952765259810947,0.919111226860308,0.952818434201539,1.56812186564968,0.952166669969774,1.68396039215194,0.900702012469013,0.406955918394628
0.46,2,2.74,1.00795792039998,1,0.997191866442403,0.965039399583871,0.99668421159709,1.68793642133884,0.996978565080619,1.79162736300233,0.945513907576837,0.436967804260024
0.5,2,2.86,1.05082162483176,1,1.03791176896268,1.007135586037,1.0368900772924,1.79775432997735,1.03805160979456,1.89031121239129,0.986586952288006,0.464475668568148
0.54,2,2.98,1.09192330051731,1,1.0754961491731,1.04599027328179,1.07400000264719,1.8991160174256,1.07596193947081,1.98139618771057,1.0244972819617,0.489865366650516
0.58,2,3.09,1.12817109090965,1,1.11039355742148,1.08206717213053,1.10845687563333,1.99323118356169,1.11116199449728,2.06596934153709,1.0596973369858,0.513439911563133
0.63,2,3.19,1.16002091679675,1,1.1507765465637,1.12381505793698,1.14833008105221,2.10214046717216,1.1518952039615,2.16383668825785,1.10043054644728,0.540720177893038
0.67,2,3.29,1.19088756477728,1,1.18083870816246,1.15489328459078,1.17801274620959,2.18321540870193,1.18221807879964,2.23669172090538,1.13075342128337,0.561028327247174
0.71,2,3.38,1.21787570949493,1,1.20915712884281,1.18416883397169,1.20597368295325,2.25958763806846,1.21078209017597,2.30532083316715,1.15931743265777,0.580158512372433
0.75,2,3.47,1.24415459395877,1,1.23592305571543,1.21183941711368,1.23240172414307,2.33177293149983,1.23778014378629,2.3701875084972,1.18631548626627,0.598239928066558
0.79,2,3.56,1.26976054486394,1,1.26129790193343,1.23807190274108,1.257456245297,2.40020660572822,1.26337505263466,2.43168292836462,1.21191039511292,0.615381615138539
0.83,2,3.65,1.2947271675944,1,1.28541914650785,1.26300841649086,1.28127298992895,2.46525942926096,1.28770548801495,2.49014027033571,1.23624083049157,0.631676445961527
0.92,2,3.82,1.34025042261848,1,1.33569439696127,1.31498291019234,1.33091357947903,2.60084725043324,1.33841674914455,2.6119813096473,1.28695209161775,0.665639316251821
1,2,3.98,1.38128181929635,1,1.37641429948154,1.35707909664548,1.37111944517434,2.71066515907175,1.37948979385849,2.71066515903626,1.32802513632892,0.693147180559945
1.08,2,4.14,1.42069578783722,1,1.41399867969196,1.39593378389026,1.40822937052913,2.81202684652,1.41740012353474,2.80175013435554,1.36593546600261,0.718536878642313
1.17,2,4.29,1.45628673293993,1,1.45308801000589,1.43634428674949,1.44682524791216,2.91744724881634,1.45682845495136,2.89648232541356,1.40536379741657,0.744943228550335
1.25,2,4.43,1.48839958405704,1,1.48538777424603,1.46973574433386,1.47871726883198,3.00455680308415,1.489408337976,2.974760142213,1.43794368043901,0.766762964770477
1.33,2,4.56,1.51732262352629,1,1.51568312478183,1.50105504143146,1.50863017921354,3.08626063416909,1.51996642407558,3.04818030347129,1.46850176653654,0.787228642243325
1.42,2,4.69,1.54543258245819,1,1.54765965936168,1.53411234458016,1.54020305083519,3.17249846716286,1.55222027423991,3.12567477981212,1.50075561669869,0.808830024364231
1.5,2,4.82,1.57277392806251,1,1.5744255862343,1.56178292772215,1.56663109202501,3.24468376059423,1.57921832785022,3.19054145514217,1.52775367030719,0.826911440058355
0.08,3,1.47,0.385262400790645,1,0.316286133458906,0.306696537760864,0.325466609937409,-0.396444473498124,0.309421413214056,-0.144348172893485,0.339095699021821,0.265366184271654
0.1,3,1.62,0.482426149244293,1,0.425101893794101,0.421195535642143,0.433242950552608,-0.121936964824673,0.419339957331559,0.107887084196336,0.449014243131913,0.338981968482186
0.13,3,1.77,0.570979546585738,1,0.5530436010703,0.555819391830065,0.559962545028757,0.200819216923551,0.548578278622405,0.404456343354332,0.578252564414045,0.425536793678086
0.15,3,1.92,0.65232518603969,1,0.622826604045999,0.629247026625349,0.629078973335585,0.376859509576045,0.619068491323289,0.566213552437421,0.648742777110177,0.472746227980596
0.17,3,2.05,0.717839793150317,1,0.683862302753262,0.693470502300545,0.689531652555004,0.530833139321065,0.680722750967579,0.707694484130217,0.71039703675031,0.514037956415265
0.19,3,2.17,0.774727167552368,1,0.738101387781722,0.750542390257086,0.743252640072594,0.667661077278086,0.735511517247656,0.833420845039037,0.765185803026693,0.550731655626963
0.21,3,2.28,0.824175442966349,1,0.786907000024214,0.801897025610769,0.791592055914353,0.790782093799034,0.784811745688214,0.946552399820165,0.814486031463927,0.583749514510996
0.23,3,2.39,0.871293365943419,1,0.831269309202317,0.848576292740324,0.835530611595331,0.902694071751217,0.829623640799059,1.04938436484222,0.859297926571751,0.613761400376392
0.25,3,2.49,0.912282710476616,1,0.87193027888411,0.891360906541718,0.875803183368667,1.0052687489231,0.870696685512998,1.14363661386953,0.90037097128292,0.641269264684515
0.27,3,2.59,0.951657875711446,1,0.909460264214601,0.930851010710484,0.91297467828634,1.09994494970403,0.908607015189246,1.23063123182977,0.938281300956613,0.666658962766883
0.29,3,2.68,0.985816794522765,1,0.94430716636654,0.967517899434814,0.947488719121445,1.18785258610936,0.943807070215717,1.31140645497762,0.973481355980711,0.6902335076795
0.31,3,2.76,1.01523067972906,1,0.976829157618949,1.0017384516419,0.979700056853287,1.26989521273163,0.976658652736993,1.38679252772439,1.00633293849977,0.712235209296612
0.33,3,2.84,1.04380405217311,1,1.00731715577656,1.03381877921302,1.00989683040878,1.34680672254333,1.00745562883879,1.45746379840937,1.0371299145995,0.732860878652491
0.35,3,2.92,1.07158361628019,1,1.03601067486232,1.06401090552714,1.03831626594743,1.41919133314609,1.03643993987792,1.52397546125227,1.06611422563667,0.752272551214915
0.38,3,3,1.09861228866811,1,1.07611401253654,1.10620876327538,1.07803653227345,1.52035928235241,1.07694970131159,1.6169351176224,1.10662398706761,0.77940316761876
0.4,3,3.08,1.12492959698548,1,1.10112714330373,1.13252828167874,1.10281073495433,1.58345944532397,1.10221632545943,1.67491562936307,1.13189061121374,0.796324992465781
0.42,3,3.16,1.15057202759882,1,1.12491962477903,1.15756339862907,1.12637594811521,1.64348029887336,1.12624992975215,1.73006667240353,1.15592421550484,0.812421026502793
0.46,3,3.31,1.19694818938897,1,1.16928193395713,1.20424266575862,1.17031450379619,1.75539227682554,1.17106182486299,1.83289863742559,1.20073611061267,0.842432912368189
0.5,3,3.45,1.23837423104327,1,1.20994290363892,1.24702727956001,1.21058707556953,1.85796695399742,1.21213486957693,1.92715088645289,1.24180915532384,0.869940776676313
0.54,3,3.59,1.27815220250019,1,1.24747288896942,1.28651738372878,1.2477585704872,1.95264315477835,1.25004519925318,2.01414550441314,1.27971948499753,0.89533047475868
0.58,3,3.72,1.31372366828506,1,1.28231979112135,1.32318427245311,1.2822726113223,2.04055079118369,1.28524525427965,2.09492072756098,1.31491954002163,0.918905019671297
0.63,3,3.85,1.34807314829969,1,1.32264433503093,1.36561488961227,1.32221197089819,2.14227677327407,1.32597846374388,2.18839314064462,1.35565274948311,0.946185286001203
0.67,3,3.97,1.3787660946991,1,1.3526629884579,1.39720135948159,1.35194388295385,2.21800427580301,1.35630133858202,2.25797646884376,1.3859756243192,0.966493435355339
0.71,3,4.08,1.40609698841607,1,1.3809404246366,1.42695567167992,1.37995121005363,2.28933924174154,1.38486534995835,2.32352365026678,1.4145396356936,0.985623620480598
0.75,3,4.19,1.43270073393405,1,1.40766761389082,1.45507877054322,1.4064230983525,2.35676342839814,1.41186340356866,2.38547735469398,1.4415376893021,1.00370503617472
0.79,3,4.3,1.45861502269952,1,1.43300573576467,1.48174025371269,1.43151918779041,2.4206834404316,1.43745831241704,2.44421119678943,1.46713259814875,1.0208467232467
0.83,3,4.41,1.48387468945875,1,1.45709207029948,1.50708457110176,1.45537544709511,2.48144559166647,1.46178874779733,2.50004339209848,1.4914630335274,1.03714155406969
0.92,3,4.6,1.52605630349505,1,1.50729455871195,1.55990903877692,1.50509839599705,2.60809048189986,1.51250000892693,2.61641291000895,1.54217429465358,1.07110442435999
1,3,4.79,1.56653041142282,1,1.54795552839374,1.60269365257831,1.54537096777039,2.71066515907175,1.55357305364087,2.71066515903626,1.58324733936475,1.09861228866811
1.08,3,4.98,1.60542989103656,1,1.58548551372423,1.64218375674708,1.58254246268806,2.80534135985268,1.59148338331712,2.7976597769965,1.62115766903844,1.12400198675048
1.17,3,5.16,1.64093657949347,1,1.62451827108372,1.68325511983307,1.62120237499643,2.90380857587363,1.63091171473374,2.88813782500324,1.6605860004524,1.1504083366585
1.25,3,5.34,1.6752256529721,1,1.65677128872893,1.71719265045959,1.65314730838558,2.9851726677452,1.66349159775837,2.96290041612608,1.69316588347484,1.17222807287864
1.33,3,5.51,1.70656462316482,1,1.68702279360476,1.74902413316038,1.68310984766828,3.06148758032317,1.69404968385795,3.03302349467834,1.72372396957237,1.19269375035149
1.42,3,5.68,1.73695123273306,1,1.71895304939142,1.78262204469822,1.71473510225449,3.14203744681586,1.72630353402228,3.10703792285015,1.75597781973452,1.2142951324724
1.5,3,5.85,1.76644166124377,1,1.74568023864564,1.81074514356152,1.74120699055336,3.20946163347247,1.7533015876326,3.16899162727735,1.78297587334301,1.23237654816652
0.08,4,1.71,0.536493370514568,1,0.472469470966147,0.485543083134809,0.479966949917422,-0.183851744211537,0.465493607514715,-0.0101096985348366,0.542245232839855,0.553048256723435
0.1,4,1.89,0.636576829071551,1,0.581154024455283,0.601648248412394,0.58792180749018,0.0718735818614618,0.575412151632218,0.230265832468062,0.652163776949948,0.626664040933967
0.13,4,2.06,0.72270598280149,1,0.708941463380653,0.738160579194638,0.714851295866417,0.372546340207847,0.704650472923064,0.512890846796863,0.78140209823208,0.713218866129867
0.15,4,2.22,0.797507195884188,1,0.778640324062067,0.812618241109621,0.784082206205463,0.536541713077948,0.775140685623948,0.66704247284432,0.851892310928211,0.760428300432377
0.17,4,2.36,0.858661619037519,1,0.839602427717476,0.87774262993354,0.844635017126412,0.679980254571646,0.836794945268238,0.801871181863101,0.913546570568345,0.801720028867046
0.19,4,2.5,0.916290731874155,1,0.893776112851125,0.935615110099426,0.898444986207061,0.807446236172824,0.891583711548315,0.921686076549919,0.968335336844728,0.838413728078744
0.21,4,2.63,0.966983846189673,1,0.942522876720619,0.987690137268588,0.946864469764953,0.922143142819967,0.940883939988873,1.02949835413336,1.01763556528196,0.871431586962777
0.23,4,2.76,1.01523067972906,1,0.986831695129984,1.03502421115047,0.99087580373136,1.02639794878719,0.985695835099718,1.12749531332707,1.06244746038979,0.901443472828172
0.25,4,2.88,1.05779029414785,1,1.02744363700943,1.07840899834222,1.03121508158272,1.12195432498022,1.02676887981366,1.21731596199273,1.10352050510095,0.928951337136296
0.27,4,3,1.09861228866811,1,1.0649283697865,1.11845306122649,1.06844814606327,1.21015264943792,1.0646792094899,1.30022022259394,1.14143083477465,0.954341035218664
0.29,4,3.11,1.13462272619114,1,1.09973325456787,1.1556343052053,1.10301935474735,1.29204552403613,1.09987926451638,1.37719751506312,1.17663088979875,0.977915580131281
0.31,4,3.22,1.16938135955632,1,1.13221603175894,1.19033489598264,1.13528404621135,1.36847468091512,1.13273084703765,1.449039046956,1.20948247231781,0.999917281748393
0.33,4,3.31,1.19694818938897,1,1.16266726838433,1.22286523951164,1.16553083664544,1.44012379907735,1.16352782313945,1.5163874597574,1.24027944841753,1.02054295110427
0.35,4,3.4,1.22377543162212,1,1.19132618966798,1.25348089450119,1.19399734514221,1.50755575472224,1.19251213417858,1.57977184328176,1.26926375945471,1.0399546236667
0.38,4,3.49,1.24990173621434,1,1.23138117191614,1.29627069475167,1.23378340272684,1.60180165321859,1.23302189561225,1.66836067507169,1.30977352088564,1.06708524007054
0.4,4,3.58,1.27536280041261,1,1.25636414258531,1.32295941771688,1.25859864052974,1.66058441595299,1.25828851976009,1.7236150295116,1.33504014503178,1.08400706491756
0.42,4,3.67,1.30019166206648,1,1.28012793578563,1.34834572192083,1.28220288628473,1.71649855986573,1.28232212405281,1.77617295265512,1.35907374932288,1.10010309895457
0.46,4,3.84,1.34547236659964,1,1.324436754195,1.39567979580271,1.32621422025114,1.82075336583295,1.32713401916365,1.87416991184884,1.4038856444307,1.13011498481997
0.5,4,4,1.38629436111989,1,1.36504869607445,1.43906458299446,1.3665534981025,1.91630974202599,1.36820706387759,1.96399056051449,1.44495868914187,1.15762284912809
0.54,4,4.16,1.42551507427317,1,1.40253342885151,1.47910864587873,1.40378656258305,2.00450806648368,1.40611739355384,2.0468948211157,1.48286901881556,1.18301254721046
0.58,4,4.31,1.46093790411566,1,1.43733831363288,1.51628988985754,1.43835777126713,2.08640094108189,1.44131744858031,2.12387211358488,1.51806907383966,1.20658709212308
0.63,4,4.45,1.49290409617815,1,1.47761423539242,1.55931571461806,1.47836328500002,2.18116669108222,1.48205065804454,2.21294959303138,1.55880228330114,1.23386735845298
0.67,4,4.59,1.52388002407245,1,1.50759669320925,1.59134527271528,1.50814444395395,2.25171281337405,1.51237353288268,2.27926121678215,1.58912515813724,1.25417550780712
0.71,4,4.72,1.55180879959746,1,1.53584003328638,1.62151697202649,1.53619816140986,2.31816694249129,1.540937544259,2.34172646736641,1.61768916951164,1.27330569293238
0.75,4,4.85,1.57897870494939,1,1.56253499568123,1.65003457569169,1.56271389681778,2.38097787324247,1.56793559786932,2.40076720089075,1.64468722312013,1.2913871086265
0.79,4,4.98,1.60542989103656,1,1.58784256559234,1.67707006043145,1.58785155453967,2.44052438983445,1.59353050671769,2.45673946521424,1.67028213196678,1.30852879569848
0.83,4,5.11,1.63119940421561,1,1.61189985753278,1.70276990247161,1.61174732851712,2.49712911082194,1.61786094209799,2.50994651386126,1.69461256734543,1.32482362652147
0.92,4,5.36,1.67896397508271,1,1.66204181326001,1.75633538045495,1.66155263677092,2.61510878287871,1.66857220322759,2.6208445103706,1.74532382847162,1.35878649681177
1,4,5.61,1.72455071953461,1,1.70265375513946,1.79972016764671,1.70189191462228,2.71066515907175,1.70964524794153,2.71066515903626,1.78639687318278,1.38629436111989
1.08,4,5.85,1.76644166124377,1,1.74013848791653,1.83976423053098,1.73912497910283,2.79886348352945,1.74755557761778,2.79356941963747,1.82430720285648,1.41168405920226
1.17,4,6.06,1.80170980008122,1,1.77912418072425,1.88141173389358,1.77784892633655,2.89059343673234,1.78698390903439,2.87979332459291,1.86373553427044,1.43809040911028
1.25,4,6.27,1.83577635464483,1,1.8113383086286,1.91582533292429,1.80984677219504,2.96639048514475,1.81956379205903,2.95104069003916,1.89631541729288,1.45991014533042
1.33,4,6.48,1.86872051036418,1,1.84155333712884,1.94810334084046,1.83985894037887,3.03748382607937,1.85012187815861,3.01786668588539,1.9268735033904,1.48037582280327
1.42,4,6.68,1.89911798754855,1,1.8734450923514,1.98217255667873,1.87153657792964,3.11252235953706,1.88237572832294,3.08840106588818,1.95912735355255,1.50197720492418
1.5,4,6.87,1.92716410623426,1,1.90014005474625,2.01069016034393,1.89805231333756,3.17533329028823,1.90937378193326,3.14744179941252,1.98612540716105,1.5200586206183
0.08,5,1.94,0.662687973075237,1,0.614816715549562,0.634559819863864,0.620337681630671,0.021927571623507,0.607270652275351,0.124128775823813,0.711011843919768,0.776191808037645
0.1,5,2.15,0.765467842139571,1,0.723396569775876,0.752034969741164,0.728471056160988,0.259472667834554,0.717189196392854,0.352644580739789,0.82093038802986,0.849807592248177
0.13,5,2.34,0.85015092936961,1,0.851060907025581,0.89015807977165,0.855610438437314,0.538769757435466,0.8464275176837,0.621325350239395,0.950168709311993,0.936362417444077
0.15,5,2.53,0.928219302739429,1,0.920692624593291,0.965494305959898,0.924955830808578,0.691106239804343,0.916917730384584,0.76787139325122,1.02065892200812,0.983571851746586
0.17,5,2.69,0.989541193613748,1,0.981596001528961,1.03138713096442,0.985608773431058,0.82434733353069,0.978571990028874,0.896047879595984,1.08231318164826,1.02486358018126
0.19,5,2.85,1.04731899428056,1,1.03571749944082,1.0899424783084,1.03950772407477,0.942751401395457,1.03336075630895,1.0099513080608,1.13710194792464,1.06155727939295
0.21,5,3,1.09861228866811,1,1.08441730401317,1.14263196552403,1.08800727534879,1.04929418361808,1.08266098474951,1.11244430844655,1.18640217636187,1.09457513827699
0.23,5,3.14,1.14422279992016,1,1.12868343833842,1.19052455850456,1.13209138760063,1.14613722335236,1.12747287986035,1.20560626181192,1.2312140714697,1.12458702414238
0.25,5,3.28,1.18784342239605,1,1.16925625745166,1.23442126512878,1.17249737153001,1.23490022905432,1.16854592457429,1.29099531011593,1.27228711618087,1.15209488845051
0.27,5,3.41,1.22671229129543,1,1.20670488000181,1.27493782852007,1.20979200557344,1.31682828753288,1.20645625425054,1.36980921335811,1.31019744585456,1.17748458653287
0.29,5,3.53,1.26129787094521,1,1.24147623613846,1.31255779313226,1.24442038210649,1.39289916824759,1.24165630927701,1.44298857514862,1.34539750087866,1.20105913144549
0.31,5,3.65,1.2947271675944,1,1.27392772164441,1.34766783403916,1.27673842730266,1.46389476224271,1.27450789179829,1.51128556618761,1.37824908339772,1.2230608330626
0.33,5,3.76,1.3244189574018,1,1.30434962363185,1.3805820198335,1.30703523461533,1.53045014386505,1.30530486790009,1.57531112110543,1.40904605949744,1.24368650241848
0.35,5,3.86,1.35066718347674,1,1.33298093687154,1.4115589246929,1.33554881607022,1.59308817286805,1.33428917893922,1.63556822531126,1.43803037053462,1.26309817498091
0.38,5,3.96,1.37624402526639,1,1.37299733289029,1.45485362381871,1.37540066491347,1.68063386640417,1.37479894037289,1.71978623252097,1.47854013196556,1.29022879138475
0.4,5,4.06,1.40118297361364,1,1.39795623667481,1.48185726076179,1.40025693783839,1.73523759785199,1.40006556452072,1.77231442966012,1.50380675611169,1.30715061623177
0.42,5,4.16,1.42551507427317,1,1.42169713746264,1.50754311103434,1.42390021618749,1.7871766486268,1.42409916881344,1.82227923290671,1.52784036040279,1.32324665026878
0.46,5,4.36,1.47247205736094,1,1.46596327178788,1.55543570401487,1.46798432843933,1.88401968836107,1.46891106392429,1.91544118627209,1.57265225551061,1.35325853613418
0.5,5,4.55,1.51512723296286,1,1.50653609090112,1.59933241063909,1.50839031236871,1.97278269406303,1.50998410863823,2.0008302345761,1.61372530022178,1.3807664004423
0.54,5,4.72,1.55180879959746,1,1.54398471345127,1.63984897403038,1.54568494641214,2.05471075254159,1.54789443831448,2.07964413781827,1.65163562989547,1.40615609852467
0.58,5,4.89,1.58719230348678,1,1.57875606958793,1.67746893864257,1.58031332294519,2.1307816332563,1.58309449334095,2.15282349960878,1.68683568491957,1.42973064343729
0.63,5,5.06,1.62136648329937,1,1.61899319228006,1.72100244725307,1.62038499083508,2.21881022059659,1.62382770280517,2.23750604541814,1.72756889438105,1.45701090976719
0.67,5,5.23,1.65441127807683,1,1.64894676704837,1.7534099385906,1.65021539668729,2.28434102141507,1.65415057764331,2.30054596472054,1.75789176921715,1.47731905912133
