LATID,CLASS,PARENT,APPROXIMATE_SUBLATERAL_HEAD_STATION,APPROXIMATE_SUB_SUBLATERAL_HEAD_STATION,APPROXIMATE_SUB_SUB_SUBLATERAL_HEAD_STATION,NUM_GATES,NUM_GATES_COL_COUNT,LENGTH,NOTES,UPSTREAM_LENGTH,UPSTREAM_GATE_COUNT,TURNOUT_1,TURNOUT_2,TURNOUT_3,TURNOUT_4,TURNOUT_5,TURNOUT_6,TURNOUT_7,TURNOUT_8,TURNOUT_9,TURNOUT_10,TURNOUT_11,TURNOUT_12,TURNOUT_13,TURNOUT_14,TURNOUT_15,TURNOUT_16,TURNOUT_17,TURNOUT_18,TURNOUT_19,TURNOUT_20,TURNOUT_21,TURNOUT_22,TURNOUT_23,TURNOUT_24,TURNOUT_25,TURNOUT_26,TURNOUT_27,TURNOUT_28,TURNOUT_29,TURNOUT_30,TURNOUT_31,TURNOUT_32,TURNOUT_33,TURNOUT_34,TURNOUT_35,TURNOUT_36,TURNOUT_37,TURNOUT_38,TURNOUT_39,TURNOUT_40,TURNOUT_41,TURNOUT_42,TURNOUT_43,TURNOUT_44,TURNOUT_45,TURNOUT_46,TURNOUT_47,TURNOUT_48,TURNOUT_49,TURNOUT_50,TURNOUT_51,TURNOUT_52,TURNOUT_53,TURNOUT_54,TURNOUT_55,TURNOUT_56,TURNOUT_57,TURNOUT_58,TURNOUT_59,TURNOUT_60,TURNOUT_61,TURNOUT_62,TURNOUT_63,TURNOUT_64,TURNOUT_65
 48-1,2,48-1,,,,40,38,"36,226",,,0,5870,7100,8800,9600,9785,9793,11400,11424,11440,14612,14617,17110,17170,17190,17472,18050,18055,20400,20405,20530,20560,21800,21805,21820,22985,28844,30044,30310,32460,32660,32710,32800,32860,34445,43300,44625,44825,45770,,,,,,,,,,,,,,,,,,,,,,,,,,,
 48-1b,3,48-1,20400,,,10,10,"6,797",,20400,17,2100,2645,2688,2700,3150,3740,3745,5240,5560,6600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 48-1b-1,4,48-1,,2645,,7,7,"7,989",,23045,18,0,2441,2629,3981,5035,5171,5671,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 48-1c,3,48-1,21800,,,9,8,"12,924",,21800,21,1956,4031,4429,6684,7869,10035,10891,13072,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 48-1e,3,48-1,32860,,,1,1,"2,627",,32860,32,2610,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 49-1,2,49-1,,,,1,1,"6,942",,,0,1575,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 49-1b,3,49-1,1575,,,3,3,"1,266",,1575,0,125,1180,1240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 49-2,2,49-2,,,,3,3,"10,810",,,0,7790,8100,9300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 49-2a,3,49-2,7790,,,3,3,"1,145",,7790,0,0,167,1087,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 50-1,2,50-1,,,,1,1,"3,311",,,0,2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 50-1c,3,50-1,2152.15,,,4,4,"1,252",,2152.15,1,0,150,1225,1250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 50-1d,3,50-1,2152.15,,,1,1,"1,242",,2152.15,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 51-1,2,51-1,,,,35,35,"44,576",,,0,1510,1548,4835,5113,6745,10872,11400,13440,13475,13690,14480,16515,16518,17925,17975,18807,18817,20325,21375,23070,24062,24122,24778,25880,28525,28650,28695,31825,31881,31916,34025,35790,37920,38929,41184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 51-1a,3,51-1,,,,1,1,36,"Not really a lateral, just a pipe off 51-1 next to station 13,475",,0,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 51-1b,3,51-1,17925,,,1,1,830,,17925,13,745,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 51-1c,3,51-1,18817,,,8,8,"6,683",,18817,16,282,2006,2016,2090,2999,3768,3770,6505,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 56-1,2,56-1,,,,18,18,"17,822",,,0,2720,2722,2907,2919,2999,4190,5322,5741,6950,7412,9801,9804,11449,12140,12143,12969,13922,15270,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 56-1a,3,56-1,2999,,,6,6,"7,133",,2999,4,1443,2070,3125,3562,5777,6466,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 56-1c,3,56-1,6950,,,29,27,"12,718",,6950,8,0,1355,1377,2646,2812,2862,3501,3519,3981,4150,4518,4538,4996,5025,5067,5557,5567,5927,6021,6581,7992,8082,8141,9396,10085,11864,12726,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 56-1c-1,4,56-1,,2862,,3,3,"1,916",,9812,13,632,1398,1954,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 56-1c-2,4,56-1,,5067,,4,4,"3,621",,12017,22,2173,2175,3015,3017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 56-1f,3,56-1,9801,,,3,3,"2,242",,9801,10,1215,1587,2199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 56-1g,3,56-1,10346.85,,,1,1,"2,631",,10346.85,12,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 58-1,2,58-1,,,,18,17,"8,614",,,0,215,223,227,1216,1255,2657,2965,3492,3734,4263,4924,4928,6432,6874,6880,7903,8540,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 58-2,2,58-2,,,,4,3,"1,555",,,0,33,596,599,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ESC,2,ESC,,,,39,39,"53,956",,,0,235,645,2928,3400,3850,8730,10580,10920,12540,13860,15130,15340,16400,16950,18335,19355,22450,22648,24583,26353,26427,26582,28395,29710,30010,31140,32460,33560,35668,39630,39642,40610,42812,44599,46836,47346,48666,49460,49960,,,,,,,,,,,,,,,,,,,,,,,,,,
 ESC-1,3,ESC-1,,,,4,3,"3,569",,,0,315,320,2040,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ESC-2,3,ESC-2,,,,1,1, -   ,"Not really its own gate, on top of ESC station 16,400",,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ESC-3,3,ESC-3,,,,7,6,"8,920",,,0,0,1902,3930,5563,6663,7790,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ESC-3a,4,ESC-3,8920,,,3,3,"1,768",,8920,6,170,1675,1700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ESC-DC,3,ESC-DC,,,,3,3,"16,178",,,0,3136,3271,15402,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
