LATID,CLASS,PARENT,APPROXIMATE_SUBLATERAL_HEAD_STATION,APPROXIMATE_SUB_SUBLATERAL_HEAD_STATION,APPROXIMATE_SUB_SUB_SUBLATERAL_HEAD_STATION,NUM_GATES,NUM_GATES_COL_COUNT,LENGTH,NOTES,UPSTREAM_LENGTH,UPSTREAM_GATE_COUNT,TURNOUT_1,TURNOUT_2,TURNOUT_3,TURNOUT_4,TURNOUT_5,TURNOUT_6,TURNOUT_7,TURNOUT_8,TURNOUT_9,TURNOUT_10,TURNOUT_11,TURNOUT_12,TURNOUT_13,TURNOUT_14,TURNOUT_15,TURNOUT_16,TURNOUT_17,TURNOUT_18,TURNOUT_19,TURNOUT_20,TURNOUT_21,TURNOUT_22,TURNOUT_23,TURNOUT_24,TURNOUT_25,TURNOUT_26,TURNOUT_27,TURNOUT_28,TURNOUT_29,TURNOUT_30,TURNOUT_31,TURNOUT_32,TURNOUT_33,TURNOUT_34,TURNOUT_35,TURNOUT_36,TURNOUT_37,TURNOUT_38,TURNOUT_39,TURNOUT_40,TURNOUT_41,TURNOUT_42,TURNOUT_43,TURNOUT_44,TURNOUT_45,TURNOUT_46,TURNOUT_47,TURNOUT_48,TURNOUT_49,TURNOUT_50,TURNOUT_51,TURNOUT_52,TURNOUT_53,TURNOUT_54,TURNOUT_55,TURNOUT_56,TURNOUT_57,TURNOUT_58,TURNOUT_59,TURNOUT_60,TURNOUT_61,TURNOUT_62,TURNOUT_63,TURNOUT_64,TURNOUT_65
 32-2,2,32-2,,,,8,8,"4,198",,,0,1100,1148,2047,2048,2500,2646,3953,3955,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 32-2a,3,32-2,2047,,,4,4,"3,379",,2047,2,635,655,1332,3215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 33-2,2,33-2,,,,4,3,"4,703",,,0,89,2000,4590,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 34-1,2,34-1,,,,3,2,"10,815",Manual Sum of 34-1a and 34-1a-1,,0,15,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 34-2,2,34-2,,,,2,2,"1,600",,,0,300,1540,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 35-1,2,35-1,,,,23,20,"28,069",,,0,690,1835,3740,5750,6330,6349,8245,8329,10760,14878,16560,16645,17440,18685,20031,20050,21400,22580,22592,27390,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 35-1a,3,35-1,3740,,,9,9,"12,230",,3740,2,218,2980,4075,5550,6620,7800,9190,10550,10552,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 35-1b,3,35-1,6330,,,6,5,"10,166",,6330,4,1749,5335,7345,7350,7353,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 35-1c,3,35-1,10760,,,6,6,"5,449",,10760,8,650,1525,1750,1755,2150,4358,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 35-2,2,35-2,,,,5,5,"6,445",,,0,805,1520,2245,5350,6570,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 36-1,2,36-1,,,,1,1,"2,100",,,0,2111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 36-2,2,36-2,,,,7,7,"7,586",,,0,60,2250,2257,2980,2989,4590,6810,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 36-2a,3,36-2,2980,,,2,2,"1,138",,2980,3,1155,1160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 36-3,2,36-3,,,,3,2,"4,940",,,0,40,2345,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 37-1,2,37-1,,,,6,6,"7,445",,,0,30,50,2255,3598,4768,7320,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 37-2,2,37-2,,,,4,4,"4,432",,,0,55,1859,3750,4450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 38-1,2,38-1,,,,4,4,"5,963",,,0,77,2652,3600,5245,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
