"FLOWTRUTH","FLOWSIM","FLOWERROR","OPTFLOW","ERRORCONDITION","VOLTRUTH","VOLSIM","VOLERROR","CV_SD","NGATES"
93.9008737719734,93.4194389628496,0.481434809123826,5.6340524263184,1,1104.70316123861,1099.03928896346,5.66387227514952,0.01,1
38.3380894229525,38.656113492557,-0.318024069604547,2.30028536537715,1,443.784967542396,447.466275180086,-3.68130763768994,0.01,1
137.521167939272,134.146192494674,3.37497544459839,8.25127007635632,1,1593.6935976477,1554.58196967891,39.1116279687926,0.01,1
8.29639046498618,8.27316546647029,0.023224998515893,0.497783427899171,1,17.5303140799799,17.4812395432632,0.0490745367167733,0.01,1
8.96057538971808,8.99837223333502,-0.0377968436169365,0.537634523383085,1,21.522491282438,21.6132758807332,-0.0907845982951763,0.01,1
106.122816782803,105.287606846065,0.835209936737527,6.36736900696816,1,494.431093724265,490.539812141006,3.89128158325917,0.01,1
95.4770884092443,94.7045996292029,0.772488780041414,5.72862530455466,1,586.580799869647,581.834875019648,4.74592484999937,0.01,1
66.9998156836778,67.7423108624108,-0.742495178733037,4.01998894102067,1,638.682403833551,645.76031294045,-7.07790910689869,0.01,1
31.5763103867243,31.7914448905758,-0.215134503851505,1.89457862320346,1,107.327064652185,108.058301282463,-0.73123663027755,0.01,1
48.743243496025,48.6479478303714,0.0952956656536301,2.9245946097615,1,560.791286611426,559.694909449845,1.09637716158034,0.01,1
101.372441557661,103.025079559744,-1.65263800208277,6.08234649345966,1,555.044048905311,564.092729927056,-9.04868102174532,0.01,1
43.1369162056518,42.6651835155976,0.471732690054232,2.58821497233911,1,415.290231035447,410.748738618473,4.54149241697365,0.01,1
32.5654803849118,32.6428335642993,-0.077353179387508,1.95392882309471,1,10.0900783808821,10.1140454660841,-0.0239670852020346,0.01,1
16.4771283048376,16.172937828114,0.304190476723608,0.988627698290256,1,91.9913511742647,90.2930641639042,1.69828701036046,0.01,1
25.5150634763995,25.3346549403313,0.180408536068224,1.53090380858397,1,122.204967609356,121.340896887876,0.864070721480317,0.01,1
27.8223798913448,27.9483120695564,-0.125932178211638,1.66934279348069,1,55.1418102410994,55.3913981017107,-0.249587860611264,0.01,1
56.305885141414,56.5712943708599,-0.265409229445908,3.37835310848484,1,225.738176866008,226.802239626553,-1.06406276054548,0.01,1
83.5415746472528,81.8175552189878,1.72401942826507,5.01249447883517,1,777.95994653878,761.905448309508,16.054498229272,0.01,1
99.6235715444195,101.593270090342,-1.96969854592258,5.97741429266517,1,186.498810483763,190.186155056251,-3.68734457248775,0.01,1
30.2938467169564,30.495667653119,-0.201820936162594,1.81763080301739,1,21.5129434645835,21.6562650582458,-0.143321593662286,0.01,1
32.333912860255,33.2646160468576,-0.930703186602649,1.9400347716153,1,208.078685754419,214.068047349247,-5.98936159482807,0.01,1
46.4234933211367,46.7576065347365,-0.334113213599885,2.7854095992682,1,205.165202591561,206.641791280882,-1.47658868932055,0.01,1
41.0675885825228,41.1550135683183,-0.087424985795586,2.46405531495137,1,323.010187888481,323.697814361393,-0.687626472911518,0.01,1
102.189485998228,102.912593658244,-0.723107660015629,6.13136915989368,1,848.94653157982,854.953800663644,-6.00726908382444,0.01,1
128.490150892555,130.20694675648,-1.71679586392506,7.7094090535533,1,818.354780049823,829.289066388919,-10.9342863390959,0.01,1
62.0338836984765,62.3364253484425,-0.302541649965953,3.72203302190859,1,511.25886182495,513.752291067073,-2.493429242123,0.01,1
33.6704964870173,33.9514284856327,-0.28093199861533,2.02022978922104,1,270.397383918781,272.65346224878,-2.25607832999879,0.01,1
64.6768177835772,64.9817335723396,-0.304915788762457,3.88060906701463,1,628.758995198957,631.72324964951,-2.96425445055309,0.01,1
117.010735509597,117.6447573848,-0.634021875202933,7.02064413057585,1,290.388052697589,291.961518387776,-1.57346569018659,0.01,1
60.1346901271052,60.2236873010174,-0.0889971739122259,3.60808140762631,1,208.81974220918,209.128787901016,-0.309045691836388,0.01,1
63.4876686007037,63.6570020109357,-0.16933341023207,3.80926011604222,1,659.516894095678,661.275948211923,-1.75905411624535,0.01,1
115.277319445102,115.089740512475,0.187578932626906,6.91663916670609,1,795.30035282585,794.006242310278,1.29411051557213,0.01,1
84.9452983736684,83.7378648962486,1.2074334774198,5.0967179024201,1,59.3387924309253,58.4953361612729,0.843456269652393,0.01,1
28.5830427726728,28.3212757256351,0.261767047037729,1.71498256636037,1,14.2497792579729,14.1192780140373,0.130501243935628,0.01,1
56.841436256915,56.0823012121364,0.75913504477861,3.4104861754149,1,120.028297562511,118.425282349578,1.60301521293337,0.01,1
14.3055960551255,14.2127856118008,0.0928104433247174,0.858335763307529,1,44.1496074431865,43.8631779491881,0.286429493998355,0.01,1
69.2480572206741,70.3429289701085,-1.09487174943442,4.15488343324045,1,39.7637466490886,40.3924459166943,-0.62869926760569,0.01,1
59.8172119160556,58.7677965115107,1.04941540454484,3.58903271496333,1,397.812472650658,390.833368751507,6.9791038991508,0.01,1
82.3946022342585,84.5014181513626,-2.10681591710403,4.94367613405551,1,211.678445014469,217.091026726999,-5.41258171252977,0.01,1
46.1246172975052,46.8868366766968,-0.762219379191563,2.76747703785031,1,240.747162552877,244.725562017952,-3.978399465075,0.01,1
59.5210171050695,59.2443238263673,0.276693278702169,3.57126102630417,1,15.9121554598532,15.8381851770935,0.0739702827596744,0.01,1
43.0915070365139,43.1843568238613,-0.0928497873474257,2.58549042219083,1,16.4682613836512,16.5037457440882,-0.035484360436925,0.01,1
