"","FLOWTRUTH","FLOWSIM","FLOWERROR","OPTFLOW","ERRORCONDITION","VOLTRUTH","VOLSIM","VOLERROR","OPTVOL","VOLERRORCONDITION","COEFOFVAR","TSD"
"1",7.11893693045096,7.03321464980562,0.0857222806453466,0.427136215827058,1,77.407288341998,76.1438042450899,1.26348409690814,4.64443730051988,0,0.01,0.06
"2",6.18473207809284,5.71311090916148,0.471621168931359,0.37108392468557,0,17.2350847713329,15.8213768207154,1.41370795061747,1.03410508627997,0,0.01,0.06
"3",2.5742526062227,2.46416757375095,0.110085032471749,0.154455156373362,1,1.76139190049241,1.72619342250723,0.0351984779851746,0.105683514029544,1,0.01,0.06
"4",0.743751725107575,1.69066760244141,-0.946915877333838,0.0446251035064545,0,5.88927968703433,13.5059435986336,-7.61666391159931,0.35335678122206,0,0.01,0.06
"5",2.64416439364229,3.37685114863656,-0.732686754994272,0.158649863618537,0,22.5193988913148,28.8781414388802,-6.35874254756545,1.35116393347889,0,0.01,0.06
"6",2.3814290813386,1.56799648589741,0.813432595441189,0.142885744880316,0,14.368575065876,9.52099511222301,4.84757995365302,0.862114503952561,0,0.01,0.06
"7",3.41299094124967,4.35545351584178,-0.94246257459211,0.20477945647498,0,29.2278722484029,37.3307939165438,-8.10292166814083,1.75367233490418,0,0.01,0.06
"8",6.52336647640073,6.29607605802365,0.227290418377075,0.391401988584044,1,62.1834978159686,59.4863123749454,2.69718544102317,3.73100986895811,0,0.01,0.06
"9",6.14156893346111,4.71556475614892,1.42600417731219,0.368494136007667,0,31.7279086243976,24.9686535507197,6.75925507367795,1.90367451746386,0,0.01,0.06
"10",4.27469681994698,3.53309693917958,0.741599880767396,0.256481809196819,0,14.5520816526887,11.9151621879896,2.63691946469911,0.873124899161322,0,0.01,0.06
"11",5.68015932218072,6.15590393249913,-0.47574461031841,0.340809559330843,0,26.6802527717149,29.4659624251318,-2.78570965341691,1.60081516630289,0,0.01,0.06
"12",2.8027274088654,3.75429465664313,-0.95156724777773,0.168163644531924,0,29.4406470944594,39.5459413164887,-10.1052942220293,1.76643882566756,0,0.01,0.06
"13",1.4573716737343,1.71132396069928,-0.253952286964981,0.0874423004240582,0,10.7571739377511,12.5958650404041,-1.83869110265299,0.645430436265065,0,0.01,0.06
"14",3.6192004484942,3.36381207769816,0.255388370796047,0.217152026909652,0,0.239142879497352,0.300120131489234,-0.0609772519918823,0.0143485727698411,1,0.01,0.06
"15",6.80581353311235,7.78196681971788,-0.976153286605532,0.408348811986741,0,31.3546530635698,35.7243554850634,-4.3697024214936,1.88127918381419,0,0.01,0.06
"16",3.53614882403868,2.15802019813368,1.378128625905,0.212168929442321,0,1.23512252679211,0.841097430338171,0.394025096453942,0.0741073516075268,1,0.01,0.06
"17",5.64621591742078,6.10386593745978,-0.457650020038994,0.338772955045247,0,21.2908065740459,22.5107968731138,-1.21999029906787,1.27744839444275,0,0.01,0.06
"18",9.62729109968186,9.38605140038051,0.241239699301355,0.577637465980912,1,107.937331065592,105.652466829131,2.28486423646156,6.47623986393554,0,0.01,0.06
"19",6.61357120944366,6.90430712523006,-0.290735915786401,0.39681427256662,1,6.19555205816397,6.83763712700074,-0.642085068836766,0.371733123489838,1,0.01,0.06
"20",9.13152693594001,8.84028268180251,0.291244254137505,0.547891616156401,1,21.5358171274974,20.5085221667565,1.02729496074085,1.29214902764984,0,0.01,0.06
"21",6.35970351516904,6.42049411521648,-0.0607906000474383,0.381582210910143,1,21.722613323527,21.5818862100997,0.140727113427268,1.30335679941162,0,0.01,0.06
"22",8.53307979835881,8.37290181987417,0.160177978484644,0.511984787901529,1,43.8007202151067,42.1509773898314,1.64974282527531,2.6280432129064,0,0.01,0.06
"23",4.51028910714734,4.35462815014176,0.155660957005577,0.27061734642884,1,7.41392118260214,7.76574270738756,-0.351821524785424,0.444835270956128,0,0.01,0.06
"24",4.13043751943891,4.05048308159612,0.0799544378427823,0.247826251166334,1,11.6880712441213,11.5390773615451,0.148993882576189,0.701284274647276,0,0.01,0.06
"25",5.62653660929171,5.49284246290304,0.133694146388664,0.337592196557502,1,29.3499275562332,28.4862882811446,0.863639275088619,1.76099565337399,0,0.01,0.06
"26",6.41218323836203,5.88511630530638,0.527066933055646,0.384730994301722,0,54.0810563048499,49.9209724984436,4.1600838064063,3.24486337829099,0,0.01,0.06
"27",3.64939198202167,3.95256680548744,-0.303174823465773,0.2189635189213,0,8.50713531801054,9.00928770127319,-0.502152383262649,0.510428119080633,0,0.01,0.06
"28",2.08732000973627,4.29468486365779,-2.20736485392151,0.125239200584176,0,8.6275052764735,17.7533201845039,-9.1258149080304,0.51765031658841,0,0.01,0.06
"29",6.46639619861404,6.03169028308019,0.434705915533842,0.387983771916842,0,17.2489459061517,15.5356558881197,1.713290018032,1.0349367543691,0,0.01,0.06
"30",5.49943557975641,6.08797955509233,-0.588543975335925,0.329966134785385,0,57.7511444890427,64.1810528995306,-6.42990841048794,3.46506866934256,0,0.01,0.06
"31",3.21959989775557,3.50677600496595,-0.287176107210377,0.193175993865334,0,4.96856335405384,5.18552887255204,-0.216965518498198,0.298113801243231,0,0.01,0.06
"32",3.13739033755878,4.14884488206979,-1.01145454451101,0.188243420253527,0,25.3148671892246,33.2560631242217,-7.94119593499703,1.51889203135348,0,0.01,0.06
"33",8.94840323575711,9.39122896411337,-0.442825728356263,0.536904194145426,1,41.0260844402863,43.5731715795461,-2.54708713925977,2.46156506641718,0,0.01,0.06
